number,date,strategy,side,instrument,open,close,profit,result,max_profit,max_lose
33474,2023-07-04 19:00:10,sor_120,BUY,DOTUSDT,4.939,5.327,38.9192063170682,1,701.55,-144.75
33475,2023-07-04 19:00:14,so_120,BUY,SOLUSDT,19.39,19.45,0.284925425477042,1,33.42,-19.8
33476,2023-07-04 19:00:17,sor_120,SELL,SOLUSDT,19.39,19.45,-0.457725425477042,0,19.8,-33.42
33477,2023-07-05 01:00:04,so_120,SELL,BTCUSDT,30583.99,30756.0,-7.93023052257073,0,161.75,-324.0
33478,2023-07-05 01:00:08,sor_120,BUY,BTCUSDT,30583.99,30756.0,6.13023052257073,1,324.0,-161.75
33479,2023-07-05 09:00:12,so_120,SELL,SOLUSDT,19.46,19.19,1.57855375128468,1,23.44,-6.78
33480,2023-07-05 09:00:19,sor_120,BUY,SOLUSDT,19.46,19.19,-1.75135375128468,0,6.78,-23.44
33481,2023-07-05 13:00:06,so_120,SELL,XRPUSDT,0.4712,0.4755,-4.92281833616296,0,4.25,-262.1
33482,2023-07-05 13:00:11,sor_120,BUY,XRPUSDT,0.4712,0.4755,4.20281833616296,1,262.1,-4.25
33483,2023-07-05 21:00:09,so_120,SELL,MKRUSDT,695.0,916.0,-79.6764028776978,0,43.18,-1381.3
33484,2023-07-05 21:00:13,sor_120,BUY,MKRUSDT,695.0,916.0,79.3164028776978,1,1381.3,-43.18
33485,2023-07-06 09:00:11,so_120,BUY,SOLUSDT,19.2,20.3,6.78860000000001,1,69.37,-50.63
33486,2023-07-06 09:00:15,sor_120,SELL,SOLUSDT,19.2,20.3,-6.96140000000001,0,50.63,-69.37
33487,2023-07-06 15:00:14,so_120,BUY,MKRUSDT,917.0,994.0,20.8123664122137,1,329.88,-35.45
33488,2023-07-06 15:00:27,sor_120,SELL,MKRUSDT,917.0,994.0,-21.1723664122137,0,35.45,-329.88
33489,2023-07-06 17:00:07,so_120,BUY,BTCUSDT,30760.72,30312.46,-19.1156009352188,0,300.0,-352.25
33490,2023-07-06 17:00:12,sor_120,SELL,BTCUSDT,30760.72,30312.46,17.3156009352188,1,352.25,-300.0
33491,2023-07-06 21:00:07,so_120,SELL,BTCUSDT,30297.28,30315.21,-1.63975287550567,0,38.0,-36.38
33492,2023-07-06 21:00:11,sor_120,BUY,BTCUSDT,30297.28,30315.21,-0.160247124494332,1,36.38,-38.0
33493,2023-07-07 19:00:07,so_120,SELL,MKRUSDT,989.0,936.0,13.2173710819009,1,187.05,-106.18
33494,2023-07-07 19:00:12,sor_120,BUY,MKRUSDT,989.0,936.0,-13.5773710819009,0,106.18,-187.05
33495,2023-07-07 21:00:12,so_120,BUY,EOSUSDT,0.755,0.725,-20.2275496688742,0,79.45,-397.35
33496,2023-07-07 21:00:16,sor_120,SELL,EOSUSDT,0.755,0.725,19.5075496688742,1,397.35,-79.45
33497,2023-07-07 23:00:10,so_120,BUY,AXSUSDT,6.22,5.96,-10.6301607717042,0,12.05,-192.92
33498,2023-07-07 23:00:14,sor_120,SELL,AXSUSDT,6.22,5.96,10.2701607717042,1,192.92,-12.05
33499,2023-07-08 07:00:14,so_120,SELL,AXSUSDT,5.96,5.87,3.59516778523489,1,50.32,-8.4
33500,2023-07-08 07:00:21,sor_120,BUY,AXSUSDT,5.96,5.87,-3.95516778523489,0,8.4,-50.32
33501,2023-07-08 11:00:07,so_120,BUY,DOTUSDT,5.331,5.184,-14.147281935847,0,45.0,-332.0
33502,2023-07-08 11:00:14,sor_120,SELL,DOTUSDT,5.331,5.184,13.427281935847,1,332.0,-45.0
33503,2023-07-08 11:00:20,so_120,BUY,BNBUSDT,245.4,236.7,-18.0861613691932,0,12.2,-289.3
33504,2023-07-08 11:00:30,sor_120,SELL,BNBUSDT,245.4,236.7,17.3661613691932,1,289.3,-12.2
33505,2023-07-08 13:00:07,so_120,BUY,BTCUSDT,30315.2,30171.64,-6.81947273974777,0,52.75,-244.13
33506,2023-07-08 13:00:11,sor_120,SELL,BTCUSDT,30315.2,30171.64,5.01947273974777,1,244.13,-52.75
33507,2023-07-08 13:00:17,so_120,BUY,AXSUSDT,5.87,5.86,-0.605894378194199,0,25.55,-8.53
33508,2023-07-08 13:00:24,sor_120,SELL,AXSUSDT,5.87,5.86,0.245894378194199,1,8.53,-25.55
33509,2023-07-08 15:00:05,so_120,BUY,XRPUSDT,0.4754,0.4676,-8.56361800588975,0,92.55,-179.85
33510,2023-07-08 15:00:09,sor_120,SELL,XRPUSDT,0.4754,0.4676,7.84361800588975,1,179.85,-92.55
33511,2023-07-08 15:00:14,so_120,BUY,LTCUSDT,106.62,97.68,-21.142296004502,0,67.77,-285.83
33512,2023-07-08 15:00:18,sor_120,SELL,LTCUSDT,106.62,97.68,20.782296004502,1,285.83,-67.77
33513,2023-07-08 15:00:22,so_120,SELL,AXSUSDT,5.86,5.85,0.246621160409585,1,4.28,-12.8
33514,2023-07-08 15:00:25,sor_120,BUY,AXSUSDT,5.86,5.85,-0.606621160409585,0,12.8,-4.28
33515,2023-07-08 19:00:09,so_120,SELL,EOSUSDT,0.725,0.717,5.15724137931035,1,89.65,-55.15
33516,2023-07-08 19:00:16,sor_120,BUY,EOSUSDT,0.725,0.717,-5.87724137931035,0,55.15,-89.65
33517,2023-07-08 21:00:07,so_120,SELL,BTCUSDT,30177.99,30158.21,-0.0806942742043757,1,54.63,-58.13
33518,2023-07-08 21:00:11,sor_120,BUY,BTCUSDT,30177.99,30158.21,-1.71930572579562,0,58.13,-54.63
33519,2023-07-09 01:00:06,so_120,BUY,BTCUSDT,30158.22,30344.58,6.8242622409413,1,79.13,-4.25
33520,2023-07-09 01:00:09,sor_120,SELL,BTCUSDT,30158.22,30344.58,-8.6242622409413,0,4.25,-79.13
33521,2023-07-09 05:00:09,so_120,SELL,DOTUSDT,5.184,5.139,3.98027777777777,1,123.45,-10.6
33522,2023-07-09 05:00:22,sor_120,BUY,DOTUSDT,5.184,5.139,-4.70027777777777,0,10.6,-123.45
33523,2023-07-09 05:00:28,so_120,BUY,EOSUSDT,0.717,0.743,17.7711018131102,1,223.15,-76.7
33524,2023-07-09 05:00:32,sor_120,SELL,EOSUSDT,0.717,0.743,-18.4911018131102,0,76.7,-223.15
33525,2023-07-09 11:00:07,so_120,SELL,LTCUSDT,97.73,96.64,2.60829428015963,1,33.78,-17.4
33526,2023-07-09 11:00:11,sor_120,BUY,LTCUSDT,97.73,96.64,-2.96829428015963,0,17.4,-33.78
33527,2023-07-09 13:00:06,so_120,SELL,BNBUSDT,236.7,235.4,2.38609209970423,1,50.7,-8.45
33528,2023-07-09 13:00:10,sor_120,BUY,BNBUSDT,236.7,235.4,-3.10609209970423,0,8.45,-50.7
33529,2023-07-09 17:00:11,so_120,SELL,SOLUSDT,20.29,21.27,-5.88235860029572,0,86.35,-127.75
33530,2023-07-09 17:00:15,sor_120,BUY,SOLUSDT,20.29,21.27,5.70955860029572,1,127.75,-86.35
33531,2023-07-09 23:00:06,so_120,BUY,MKRUSDT,936.0,970.0,8.90119658119658,1,144.23,-90.8
33532,2023-07-09 23:00:10,sor_120,SELL,MKRUSDT,936.0,970.0,-9.26119658119658,0,90.8,-144.23
33533,2023-07-10 01:00:07,so_120,SELL,BTCUSDT,30348.24,30089.47,9.75836107794062,1,162.13,-34.75
33534,2023-07-10 01:00:12,sor_120,BUY,BTCUSDT,30348.24,30089.47,-11.5583610779406,0,34.75,-162.13
33535,2023-07-10 03:00:10,so_120,SELL,XRPUSDT,0.4676,0.4685,-1.32236099230112,0,54.55,-77.0
33536,2023-07-10 03:00:14,sor_120,BUY,XRPUSDT,0.4676,0.4685,0.602360992301125,1,77.0,-54.55
33537,2023-07-10 05:00:06,so_120,SELL,EOSUSDT,0.743,0.711,21.1743203230148,1,282.65,-6.75
33538,2023-07-10 05:00:10,sor_120,BUY,EOSUSDT,0.743,0.711,-21.8943203230148,0,6.75,-282.65
33539,2023-07-10 11:00:11,so_120,SELL,MKRUSDT,969.0,926.0,10.91391124871,1,147.05,-2.57
33540,2023-07-10 11:00:18,sor_120,BUY,MKRUSDT,969.0,926.0,-11.27391124871,0,2.57,-147.05
33541,2023-07-10 13:00:10,so_120,BUY,BNBUSDT,235.4,242.1,13.8710960067969,1,186.9,-82.85
33542,2023-07-10 13:00:16,sor_120,SELL,BNBUSDT,235.4,242.1,-14.5910960067969,0,82.85,-186.9
33543,2023-07-10 17:00:08,so_120,BUY,XRPUSDT,0.4684,0.4718,3.26937660119557,1,58.7,-32.0
