close  ,max_lose,max_profit,number,open   ,profit,result,instrument,side,strategy          ,date
2828.6 ,0.0     ,0.6234    ,31500 ,2812.5  ,1.31   ,1     ,MKRUSDT   ,Buy ,maxCh_120SlMin    ,2024-04-27 01:20:26.297
2828.6 ,0.0     ,1.891     ,31501 ,2812.5  ,10.84  ,1     ,MKRUSDT   ,Buy ,maxCh_m10_sh      ,2024-04-27 01:20:26.708
2828.6 ,0.0     ,0.7262    ,31502 ,2812.5  ,3.36   ,1     ,MKRUSDT   ,Buy ,maxCh_p10_sh      ,2024-04-27 01:20:27.012
2828.6 ,0.0     ,0.7262    ,31503 ,2812.5  ,3.36   ,1     ,MKRUSDT   ,Buy ,maxCh_mSL         ,2024-04-27 01:20:27.387
2828.6 ,0.0     ,0.7262    ,31504 ,2812.5  ,3.36   ,1     ,MKRUSDT   ,Buy ,maxCh_pSL         ,2024-04-27 01:20:27.794
2828.6 ,0.0     ,0.7262    ,31505 ,2812.5  ,3.36   ,1     ,MKRUSDT   ,Buy ,maxCh_mTP         ,2024-04-27 01:20:28.121
0.8089 ,-2.0495 ,1.704     ,31506 ,0.8005  ,0.74   ,1     ,EOSUSDT   ,Buy ,maxCh_120SlMin    ,2024-04-27 01:20:28.465
0.8089 ,-1.9548 ,1.763     ,31507 ,0.8005  ,0.74   ,1     ,EOSUSDT   ,Buy ,maxCh_m10_sh      ,2024-04-27 01:20:28.699
0.8089 ,-1.9132 ,1.8       ,31508 ,0.8005  ,2.83   ,1     ,EOSUSDT   ,Buy ,maxCh_p10_sh      ,2024-04-27 01:20:32.075
0.8089 ,-2.8709 ,1.704     ,31509 ,0.8005  ,0.74   ,1     ,EOSUSDT   ,Buy ,maxCh_mSL         ,2024-04-27 01:20:32.387
0.8089 ,-2.6728 ,2.072     ,31510 ,0.8005  ,0.74   ,1     ,EOSUSDT   ,Buy ,maxCh_pSL         ,2024-04-27 01:20:32.637
0.8089 ,-1.8663 ,1.719     ,31511 ,0.8005  ,0.74   ,1     ,EOSUSDT   ,Buy ,maxCh_mTP         ,2024-04-27 01:20:32.997
7.044  ,0.0     ,1.004     ,31512 ,6.974   ,3.51   ,1     ,AXSUSDT   ,Buy ,maxCh_120SlMin    ,2024-04-27 01:20:33.372
7.044  ,-1.7105 ,1.004     ,31513 ,6.974   ,3.03   ,1     ,AXSUSDT   ,Buy ,maxCh_m10_sh      ,2024-04-27 01:20:33.778
7.044  ,0.0     ,1.043     ,31514 ,6.974   ,4.67   ,1     ,AXSUSDT   ,Buy ,maxCh_p10_sh      ,2024-04-27 01:20:37.169
7.044  ,0.0     ,1.004     ,31515 ,6.974   ,3.51   ,1     ,AXSUSDT   ,Buy ,maxCh_mSL         ,2024-04-27 01:20:37.591
7.044  ,0.0     ,1.004     ,31516 ,6.974   ,3.51   ,1     ,AXSUSDT   ,Buy ,maxCh_pSL         ,2024-04-27 01:20:38.013
